customer_id,city,state,zip,email,monthly_usage_kwh,monthly_bill,service_type,status,ip_address,monthly_bill_clean,phone,name,address,language,company,account_open_date,last_payment_date,browser
252,Turnerfurt,MN,37745,davisbrian@yahoo.com,1484.1,$417.67,Gas,Active,12.84.57.86,417.67,660-216-1606,"michelle  erickson","5990 jon river",en-US,unknown,2022-05-02,2023-11-02,ie
129,"East Jessica",NY,60165,mluna@hotmail.com,586.2,112.33,Gas,Inactive,195.128.50.113,112.33,128-037-7032,"rodney evans","2575 frederick valleys suite 033",en-US,"martinez ltd",2022-08-30,2023-12-20,ie
13,"South Monicafort",ID,95717,sarayoung@gmail.com,565.7,423.74,Electric,Active,76.92.61.13,423.74,450-578-5669,"mary gomez","0256 joseph turnpike",en-US,bailey-hoover,2020-12-06,2024-09-05,firefox
238,Amyside,AK,99071,stantonpatrick@hotmail.com,1973.5," $270.57",Gas,Inactive,8.121.254.74,270.57,791-657-4205,"oscar greer","49911 sparks flats suite 778",es-ES,unknown,2018-06-01,2024-12-06,chrome
27,"East Laurashire",LA,21359,mcdanielsandra@hotmail.com,706,$265,Gas,Inactive,216.182.61.164,265.00,993-695-8616,"david mann","1832 serrano cliffs",es-ES,martinez-barker,2018-02-16,2024-05-14,safari
225,"Lake Amanda",HI,Unknown,ashley42@yahoo.com,1987.8,$41,Electric,Active,202.78.149.143,41.00,412-250-4028,"mr.  joseph  kelley","5402 mitchell expressway",es-ES,unknown,2015-05-13,2024-11-09,chrome
29,"Lake Mollymouth",AR,Unknown,marksteele@bates-morales.net,589.2,$102,Water,Delinquent,63.231.79.153,102.00,560-919-8434,"jason morris","1545 tara lodge",en-US,unknown,2017-02-27,2023-09-02,firefox
190,Youngshire,NJ,85303,uparker@roberts-white.com,300.1," $191.09",Water,Inactive,133.20.248.95,191.09,982-754-1692,"charles  hammond","94077 stephens avenue",en-US,unknown,2018-01-30,2024-01-10,ie
102,Willisland,UT,73469,courtney86@yahoo.com,1207.9,$330,Electric,Active,91.206.148.69,330.00,(47-5)5-0853,"andrew brown","88924 kyle pass apt. 285",fr-FR,blair-mathis,2015-11-12,2024-05-30,chrome
229,Hansenmouth,AK,80381,angelapage@gmail.com,1151.6,"379.1 USD",Water,Active,83.53.249.189,379.10,888-690-8774,"jason rocha","64870 davenport hollow",en-US,unknown,2018-10-04,2025-04-27,safari
71,Ashleyborough,RI,72739,evanscarrie@mitchell-hays.net,1302.6,"73.89 USD",Gas,Active,197.181.247.215,73.89,923-934-0792,"tonya howe","87431 martin mount suite 205",en-US,unknown,2020-11-23,2025-04-18,safari
218,"South Brendaton",NE,79856,jonesjoe@yahoo.com,1766.3,"332.64 USD",Gas,Delinquent,93.30.146.10,332.64,338-640-3378,"casey floyd","3531 perez freeway suite 363",es-ES,unknown,2016-04-29,2024-10-12,chrome
299,"North Emily",TX,Unknown,jenniferkim@hoover-skinner.com,307.2,$420,Gas,Active,150.234.229.179,420.00,604-887-7076,"julie  murray","124 amanda lock",en-US,unknown,2017-01-04,2023-12-14,firefox
191,Cherylshire,OH,23205,brandonhernandez@hotmail.com,575.3,255.88,Water,Active,209.37.154.6,255.88,915-730-8537,"adriana khan","20994 knapp causeway apt. 622",en-GB,"burch ltd",2018-08-25,2024-06-15,edge
182,"Lake Holly",MS,85513,"stacymcintosh at smith-benson.com",1824.7,225.17,Electric,Active,196.44.134.140,225.17,639-434-8899,"sarah rodriguez","7053 james pike suite 879",es-ES,unknown,2016-02-05,2023-10-02,edge
245,"North Ashley",DE,59781,"dawnwilliams at hotmail.com",73.1,$82,Gas,Active,201.1.217.248,82.00,761-135-0152,"dominic johnson","01594 rachel lodge suite 162",es-ES,unknown,2022-08-31,2025-08-29,ie
86,Thomasburgh,KY,20730,davisangela@george.com,268.8," $53.58",Water,Delinquent,143.200.33.176,53.58,996-113-5562,"justin hunt","1839 gina extension apt. 444",en-GB,evans-patton,2020-11-22,2025-12-17,ie
227,Jamesland,NV,56380,hmorgan@mendoza.com,1773.1,231.78,Electric,Active,200.89.121.86,231.78,555-854-5314,"tracy webster","69375 mark rest apt. 983",en-US,unknown,2016-06-15,2025-11-30,chrome
144,Hamiltontown,TX,Unknown,burgesseric@yahoo.com,1923,275.44,Gas,Active,36.12.21.173,275.44,(48-0)5-7786,"christine poole","11024 bailey forks suite 667",es-ES,unknown,2015-05-06,2025-02-01,safari
98,Lisachester,DC,Unknown,rubendavis@gmail.com,977.2," $118.8",Electric,Delinquent,152.132.55.189,118.80,961-110-6584,"mariah williams","71293 smith square apt. 10",en-US,unknown,2019-11-13,2023-07-15,firefox
198,Larryborough,WV,66418,charlesaustin@fernandez-williams.com,902.4," $101.09",Electric,Active,194.80.110.66,101.09,493-680-9767,"michael  campbell","016 christopher lock apt. 997 apt. 945",fr-FR,unknown,2018-04-14,2023-01-15,edge
5,"North Sarahport",AR,99192,williamrodriguez@hotmail.com,1081.8,$276,Water,Inactive,36.109.250.82,276.00,(72-1)7-0524,"jesse mckay","893 nathaniel estates apt. 957",en-US,"humphrey inc",2019-09-26,2025-02-27,chrome
297,"South Robert",OH,47089,rachelquinn@cruz-hopkins.org,106.1,195.67,Gas,Active,11.39.47.106,195.67,494-964-9096,"rhonda thompson","0324 estrada cliff",es-ES,unknown,2022-08-05,2025-05-06,safari
83,Nelsonland,KY,14910,jgray@brown-smith.com,1072.4," $142.36",Electric,Inactive,204.67.98.2,142.36,(23-7)6-0691,"shannon  malone","6591 jerry ways",en-US,unknown,2015-02-07,2023-08-08,safari
158,Michaelview,PA,31679,christopherhill@gomez-foster.org,148.2,"162.28 USD",Electric,Active,123.59.77.135,162.28,827-255-1190,"megan ward","011 barber points",en-GB,unknown,2015-11-03,2024-10-18,safari
154,"Port Erikachester",MT,63707,catherinethompson@hotmail.com,694.7,$411,Electric,Active,158.219.28.74,411.00,475-391-0715,"joseph blankenship","811 hopkins rapids",en-US,golden-wolfe,2018-04-24,2023-03-22,chrome
10,"South Christineshire",CA,40982,barnesbrandy@stewart.com,1809.8,$112,Electric,Active,216.124.133.149,112.00,(27-7)6-5326,"todd hudson","6247 hickman cliffs apt. 554",fr-FR,unknown,2016-11-12,2025-09-21,firefox
88,Ewingfort,MO,Unknown,brittanygardner@saunders.com,782.5,$213,Water,Delinquent,207.88.174.8,213.00,270-683-1519,"robert long","1672 allen shoals apt. 661",es-ES,unknown,2022-03-12,2025-02-05,safari
17,Rivasside,GA,77033,gregoryrubio@hotmail.com,53.3,$39,Water,Active,192.249.155.226,39.00,471-239-2776,"shannon  mcclure","83172 contreras points suite 798",es-ES,unknown,2016-04-18,2024-01-25,chrome
232,"South Stevenland",DC,Unknown,"alexanderholmes at yahoo.com",675.7,294.71,Electric,Active,125.63.13.29,294.71,903-808-2426,"melissa davis","5213 wesley village apt. 898",fr-FR,unknown,2022-05-23,2023-02-16,safari
151,Jasonburgh,MN,26899,lisa57@yahoo.com,631.5,$91.82,Gas,Active,202.60.149.199,91.82,(21-8)8-9210,"jamie  solomon","272 chris row",es-ES,unknown,2016-02-25,2025-10-27,ie
1,Robinsonshire,AL,Unknown,jillrhodes@miller.com,1223.9," $114.01",Water,Active,53.198.170.29,114.01,(34-2)9-5426,"allison hill","908 jennifer squares",fr-FR,unknown,2019-09-25,2023-03-03,ie
247,Rebeccaville,IA,38419,tbaldwin@gmail.com,783.1,388.27,Water,Active,153.38.130.254,388.27,457-397-1557,"sherry giles","034 parker squares apt. 95",es-ES,unknown,2021-09-21,2023-09-03,chrome
76,"Lake Bradley",IN,35513,steven86@gray.com,595.5," $236.83",Water,Active,198.39.126.64,236.83,(47-0)9-4469,"courtney smith","10690 jamie courts apt. 790",fr-FR,"robinson, shields and brown",2019-01-24,2023-05-31,chrome
256,"East Tammy",MO,72182,douglasstephanie@yahoo.com,605.9,"43.23 USD",Gas,Active,77.83.133.123,43.23,439-681-0789,"debra barrett","04501 davis glens apt. 116",fr-FR,unknown,2020-07-30,2023-11-24,safari
60,Angelastad,OH,30218,zosborn@ponce.com,1368.9,"38.79 USD",Electric,Delinquent,37.132.141.242,38.79,989-752-9626,"chad jones","2258 david flats apt. 370 apt. 345",es-ES,unknown,2016-10-26,2023-12-06,safari
108,Hawkinsside,CT,18200,marymurphy@dawson.biz,272.2,$160,Water,Inactive,136.242.94.135,160.00,402-660-8037,"robert torres","442 stephanie walk",es-ES,unknown,2021-06-22,2024-01-18,chrome
293,Matthewchester,TX,21829,cclark@hotmail.com,1765,"413.83 USD",Water,Active,129.124.194.241,413.83,(65-3)5-9711,"brady singleton","2924 vincent shoals",en-US,farmer-vaughn,2017-08-22,2024-03-06,safari
156,Hartmanside,UT,72684,tking@hotmail.com,1964.1,$319.35,Electric,Active,202.82.76.64,319.35,581-550-3996,"richard olson","621 sean squares apt. 138",en-US,unknown,2019-09-24,2023-08-20,edge
114,"West Toni",SC,86278,whitelucas@hotmail.com,825.5," $385.55",Gas,Inactive,26.190.117.170,385.55,612-727-5558,"nicholas rush","917 mark club",es-ES,unknown,2015-01-11,2025-07-27,firefox
164,Hamptonmouth,CO,Unknown,andrew15@hotmail.com,1396.7,$82.96,Gas,Active,190.215.14.154,82.96,735-309-1414,"george ward","982 kelly spring",fr-FR,unknown,2017-12-29,2024-08-09,firefox
170,"Port John",AL,70191,christophersmith@peterson.info,1138.3,"43.34 USD",Water,Inactive,13.253.223.250,43.34,(75-0)9-1981,"calvin gonzales","0512 joseph lock apt. 872",fr-FR,unknown,2018-09-20,2023-06-29,edge
194,Reillyton,NC,20277,matthew99@collier.com,872.5,"393.35 USD",Water,Active,186.24.153.105,393.35,(99-9)4-9168,"joshua wang","770 timothy road suite 857",en-US,unknown,2019-04-10,2025-08-07,chrome
172,Lindamouth,ID,15475,kelli32@davis-montgomery.com,462.9,"110.32 USD",Water,Inactive,209.67.125.122,110.32,(50-5)8-9371,"melissa barker","2812 hall point",en-GB,"norris llc",2015-01-21,2023-06-24,safari
39,"New Jason",IN,62098,batesdarlene@hotmail.com,1751.1,$430,Electric,Active,212.161.72.175,430.00,(61-9)8-7035,"donald donaldson","53293 maria plaza",es-ES,schroeder-kramer,2022-04-15,2024-11-03,chrome
211,Mendozafurt,VA,75850,gbaldwin@jones.com,1943.5,$310,Water,Active,175.237.162.204,310.00,849-996-7266,"randy robinson","72006 hernandez isle suite 908 apt. 537",es-ES,"fernandez inc",2022-10-29,2023-11-10,edge
91,"West Emilyfort",SC,32955,yvargas@bush.com,1582.3,$438,Gas,Active,188.143.184.114,438.00,(87-6)7-3346,"jessica johnson","182 nguyen mount",fr-FR,unknown,2022-01-08,2025-10-12,firefox
105,"Lake Rachel",WY,Unknown,christopher70@yahoo.com,1935.3,$262,Gas,Delinquent,90.62.8.24,262.00,237-568-9796,"john campbell","9493 richardson park",en-US,unknown,2017-10-13,2023-12-07,chrome
283,Halltown,MS,31514,ellisonscott@bishop-reynolds.com,1539.8,$328,Water,Active,161.158.213.154,328.00,813-863-4432,"steve steele","046 davis terrace apt. 571",en-US,unknown,2020-07-06,2023-10-03,chrome
18,"Lake Jason",MT,62743,joshuajones@yahoo.com,1370.8,$201,Electric,Active,189.78.5.197,201.00,521-879-3041,"david walsh","5581 edward lights",en-US,unknown,2022-10-26,2023-09-18,ie
100,Jamiehaven,WA,59207,kylie34@hotmail.com,1606.2,"352.03 USD",Water,Active,131.126.15.132,352.03,230-849-5478,"leah cruz","89994 melanie shoals",es-ES,unknown,2019-11-04,2025-02-17,edge
135,Pamelaside,SD,43640,gatessergio@gmail.com,1939.7,$208,Gas,Active,218.232.71.16,208.00,925-886-6500,"david stevens","016 johnson plaza apt. 199",fr-FR,unknown,2016-03-18,2023-04-09,ie
116,Jamieborough,UT,22475,jessicapayne@gmail.com,1376," $275.28",Electric,Active,203.195.232.100,275.28,(25-3)6-0560,"angela jackson","970 dunlap expressway suite 201",fr-FR,unknown,2017-05-24,2023-06-09,chrome
42,"New Brian",OH,89482,gperry@yahoo.com,1260.7,114.17,Water,Inactive,189.37.88.39,114.17,874-605-5497,"stephen gutierrez","4527 christopher corner apt. 615 apt. 886",en-GB,unknown,2020-07-27,2024-04-16,chrome
254,"South Michaelside",NH,15334,lopezbrian@gmail.com,207.4,$27,Electric,Active,69.253.46.23,27.00,(97-5)6-2537,"tammy fields","4276 wanda park",en-US,rodriguez-cortez,2016-06-30,2025-02-09,chrome
221,Mullinsside,WY,80499,castillokevin@stevens.info,826.2,$102,Gas,Inactive,18.151.55.105,102.00,733-311-8399,"brandi phillips","62570 paul spurs suite 804",fr-FR,unknown,2019-06-09,2025-03-04,safari
107,"New Michaelborough",ME,Unknown,louis43@gmail.com,362.3," $241.88",Water,Active,135.172.169.238,241.88,617-212-7903,"dean edwards","91212 owens lodge",fr-FR,unknown,2018-11-06,2023-12-03,safari
6,Martinezbury,MA,75612,josephbrennan@yahoo.com,1101.8,85.72,Water,Delinquent,46.186.51.36,85.72,500-645-3591,"kim martinez","346 kim path",en-US,unknown,2017-01-01,2024-09-03,edge
117,Kristenfort,TN,27451,xhernandez@gmail.com,908.2,282.44,Water,Active,152.205.62.138,282.44,305-520-7022,"elizabeth davis","49731 jamie route suite 171",en-US,unknown,2022-03-12,2023-05-21,edge
38,Sampsonstad,TX,63841,qchavez@horton.com,1015.9,186.01,Electric,Active,187.122.65.147,186.01,844-550-5799,"johnathan davis","179 crosby harbors apt. 537",en-US,unknown,2015-06-28,2025-08-26,firefox
104,Davidton,IN,63627,joycesmith@sanchez.com,1444.7,124.07,Gas,Active,198.230.163.2,124.07,944-672-4434,"brian berry","20863 wright stravenue suite 419",en-US,unknown,2022-07-19,2023-10-13,edge
103,Gibsonstad,NM,33283,smithderrick@martin.net,685.5,436.14,Gas,Inactive,213.8.174.240,436.14,640-866-3230,"logan brown","52410 roman groves apt. 491",en-US,unknown,2019-06-20,2024-08-19,chrome
65,"East Theresafurt",WY,18855,jessica65@morales.net,710.2," $39.06",Water,Active,187.179.12.34,39.06,220-599-8702,"adam rodriguez","8416 duran harbors apt. 397",es-ES,unknown,2017-09-14,2024-11-11,edge
136,"North Pennyfort",VT,Unknown,ann99@yahoo.com,363.8,$93,Electric,Active,203.155.97.212,93.00,(36-6)6-6222,"anthony walker","711 aaron knoll suite 885",es-ES,unknown,2017-12-05,2023-06-01,chrome
185,"West Carlos",VA,62513,jallen@waller-browning.com,70.9,$295,Water,Delinquent,73.80.62.255,295.00,645-290-2049,"megan  salas","232 michelle inlet apt. 629",en-US,unknown,2021-11-19,2023-04-28,safari
34,"North Scott",OR,67963,gregorylynch@harvey-allen.org,728.5,$437,Gas,Active,147.85.246.32,437.00,801-221-5415,"joseph knight","74740 santana springs",es-ES,fowler-coleman,2018-02-13,2025-06-11,safari
188,"South Kelly",AR,98724,hayesmargaret@rich.net,1094.5," $430.84",Water,Inactive,135.62.52.15,430.84,161-751-1527,"natalie wheeler","086 james mill suite 447",fr-FR,"black, thomas and gallegos",2022-11-12,2024-10-08,chrome
257,Davischester,MN,64927,evanslaurie@drake.com,512.4,$160.24,Gas,Inactive,221.161.238.156,160.24,696-727-2901,"richard mitchell","158 tracy loaf suite 499",en-US,unknown,2017-03-25,2024-04-16,safari
147,Lindseychester,AL,48745,david31@yahoo.com,1430.7," $336.79",Water,Inactive,142.45.122.38,336.79,(25-8)8-1476,"craig carpenter","57759 steele drives",en-GB,unknown,2017-11-28,2025-04-08,chrome
205,Laneshire,TN,75214,chloe58@harrison.info,265.4,"196.22 USD",Water,Active,136.29.215.57,196.22,(52-8)9-3820,"lisa  sanchez","5442 heather ranch suite 940",en-GB,lamb-weber,2021-03-08,2024-08-02,safari
280,"North Brianna",CA,23332,tconway@hotmail.com,1695.9," $165.61",Gas,Active,107.165.190.206,165.61,980-711-0812,"johnny cox","36149 jackson fields",fr-FR,unknown,2016-11-22,2025-01-14,chrome
264,"North Kimberlyville",OH,24334,morgandaniel@martinez.info,1065.3,233.42,Water,Active,42.176.226.244,233.42,392-668-2430,"carrie villarreal","5084 melissa well apt. 077",en-US,unknown,2016-11-05,2023-08-18,chrome
20,"East Mary",FL,23970,jason55@yahoo.com,1839.1,41.59,Electric,Active,71.82.40.28,41.59,399-935-7291,"joel williams","4170 zoe keys apt. 100",en-US,unknown,2019-10-08,2023-12-27,chrome
15,Richardtown,LA,91351,ryan59@alvarado-martinez.com,399.8,$399.01,Gas,Inactive,117.39.238.207,399.01,566-415-5088,"april frost","656 spencer fields suite 629",es-ES,unknown,2016-09-25,2023-11-29,chrome
89,Bartonshire,NY,65591,mackdiane@jackson-salazar.org,587.5,218.07,Water,Inactive,154.159.87.101,218.07,(94-5)4-2810,"rachel ward","6101 walker summit apt. 756",fr-FR,"cooper inc",2020-12-18,2024-04-15,chrome
208,Ericaburgh,OH,64046,hardindana@bishop-pearson.com,781.4,262.15,Water,Delinquent,36.89.83.44,262.15,814-653-6772,"ethan moreno","4149 murray spring apt. 938",fr-FR,unknown,2022-02-06,2024-10-24,edge
289,"East Williamhaven",NM,41258,markbrown@yahoo.com,955.1,"125.6 USD",Water,Delinquent,218.76.96.5,125.60,598-445-2639,"pamela matthews","973 kristen turnpike",en-GB,unknown,2016-04-10,2024-01-29,chrome
44,Tuckermouth,KY,11824,reesejason@chavez-moore.com,1189.9,"309.32 USD",Water,Delinquent,146.32.181.207,309.32,(97-2)4-3175,"jennifer thomas","910 eric river apt. 147",fr-FR,"fischer inc",2017-12-19,2025-07-20,safari
169,"West Andrew",ND,95397,melissawhite@yahoo.com,1944.7,427.73,Water,Active,70.139.166.25,427.73,225-729-7143,"patrick lamb","797 graves overpass",es-ES,unknown,2017-02-27,2025-11-18,safari
241,Morrisville,NM,Unknown,brittany14@morgan.net,327.1,$433.55,Water,Active,45.45.154.23,433.55,475-620-9948,"anthony  sanchez","76986 smith mountains apt. 569",es-ES,unknown,2020-06-02,2023-08-20,safari
128,"East Heather",ME,Unknown,creyes@hotmail.com,92.5,$414.49,Electric,Active,83.151.99.196,414.49,(32-4)2-1220,"jeffrey jordan","505 andrew avenue",en-GB,unknown,2019-06-29,2023-06-22,safari
261,Pettyfort,OR,58551,csmith@hotmail.com,1085.3,"185.5 USD",Gas,Active,203.202.112.51,185.50,158-838-1587,"christian park","49605 curtis vista",en-US,unknown,2022-01-11,2023-01-03,ie
41,Shawnchester,WY,19681,lammarc@gmail.com,1698.3,$317,Electric,Delinquent,214.225.120.12,317.00,581-601-4770,"dr. jessica rodriguez dds","49985 vang pines apt. 824",en-GB,unknown,2019-12-15,2024-09-04,chrome
77,Williamsstad,TN,Unknown,kevinthomas@hotmail.com,322.6," $84.04",Water,Active,165.25.137.77,84.04,(40-3)8-1693,"monique flores","4408 connie meadow",es-ES,unknown,2018-09-26,2025-11-29,ie
284,Lopezberg,AZ,47281,briana11@gmail.com,730.3,"75.13 USD",Water,Active,91.228.239.138,75.13,563-117-0553,"timothy logan","392 kelly orchard",es-ES,unknown,2018-08-05,2023-02-27,chrome
171,"Lake Ryan",GA,75907,stevenwise@wade.com,793.8,$349,Water,Active,66.176.4.245,349.00,747-206-2036,"william wright","08814 little flat suite 031",en-GB,richards-foster,2018-04-02,2023-06-27,safari
286,Navarromouth,WA,36988,robert21@yahoo.com,758.5,"91.65 USD",Gas,Active,139.202.169.122,91.65,586-784-7394,"erin lane","3033 hanson garden",en-US,unknown,2018-10-08,2025-10-26,safari
168,Claytonbury,CO,25036,justin80@weeks.com,1841.3," $408.93",Electric,Delinquent,184.179.30.121,408.93,423-970-9691,"joseph chang","9308 lopez points suite 632",fr-FR,unknown,2022-07-02,2025-07-01,firefox
124,Kennethville,CA,81638,jennifer46@yahoo.com,725.5," $30.28",Water,Inactive,172.211.60.46,30.28,448-675-7033,"lindsay smith","4374 silva avenue suite 899",es-ES,unknown,2017-10-01,2023-01-14,chrome
97,Erikview,SD,45038,williamsconnie@yahoo.com,1981,217.37,Electric,Active,151.204.73.207,217.37,(30-9)2-9895,"bianca phelps","27706 wendy curve",es-ES,unknown,2019-06-14,2025-02-03,chrome
263,Jimmyside,AK,17138,laura29@gmail.com,1667.6," $229.08",Gas,Active,171.109.156.232,229.08,(97-1)9-6246,"edward dawson","172 james rest suite 167",es-ES,unknown,2015-09-17,2024-12-08,ie
9,"North Susan",HI,66498,jamesrobinson@gmail.com,168.2,$309.55,Water,Active,47.13.148.165,309.55,790-684-4981,"rachel mitchell","500 shaw walk",en-GB,unknown,2019-10-01,2025-08-14,safari
236,"North Douglasfurt",OR,54658,mcampbell@collins.net,387.5,254.15,Water,Active,42.204.92.119,254.15,735-616-8265,"amanda murphy","6317 white spring suite 167",fr-FR,unknown,2017-05-02,2025-06-10,ie
189,"South Andrea",WI,34925,cgutierrez@white.com,497,395.28,Electric,Inactive,5.51.98.63,395.28,647-960-8458,"kevin shannon","45211 jasmin roads suite 186",en-US,unknown,2020-08-05,2024-04-25,safari
253,Chloeview,MD,87984,uanderson@hotmail.com,682.3,$203,Water,Active,162.107.148.149,203.00,299-667-3796,"debbie gordon","41502 savage village suite 564",en-GB,stafford-stewart,2021-11-26,2023-05-10,safari
31,Grimesmouth,NJ,91057,"patrickweeks at hotmail.com",1980.6," $147.86",Gas,Active,148.152.0.7,147.86,(77-6)5-1123,"john  kennedy","46584 justin hills",en-US,cook-hines,2017-07-13,2025-07-11,chrome
177,"West Traceyborough",MD,69591,vcannon@ward-chavez.biz,1285.5," $322.61",Gas,Inactive,24.212.164.12,322.61,470-578-4834,"erica allen","049 zachary hollow apt. 212",en-US,unknown,2015-07-10,2024-10-25,ie
320,Sarahmouth,FL,24918,"odavis at wilkerson-arias.biz",998.9," $311.63",Water,Active,193.240.47.51,311.63,478-653-7947,"phillip nelson","8536 nicholas burgs",en-US,"johnson group",2018-11-14,2023-08-16,ie
